Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,ismcr02a,Ethernet3/4/1,l3_interface,,,True
l3leaf,ismcr02a,Ethernet3/4/1.525,l3_interface,,,True
l3leaf,ismcr02a,Ethernet3/4/1.533,l3_interface,,,True
l3leaf,ismcr02a,Ethernet3/5/1,firewall,ISMTMGPAN40,Ethernet1/41,True
l3leaf,ismcr02a,Ethernet3/48/1,mlag_peer,ismcr01a,Ethernet3/48/1,True
l3leaf,ismcr02a,Ethernet4/1/1,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/1/1.510,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/1/1.533,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/2/1,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/2/1.510,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/2/1.533,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/3/1,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/3/1.525,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/3/1.633,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/4/1,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/4/1.525,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/4/1.533,l3_interface,,,True
l3leaf,ismcr02a,Ethernet4/5/1,firewall,ISMTMGPAN41,Ethernet1/42,True
l3leaf,ismcr02a,Ethernet4/48/1,mlag_peer,ismcr01a,Ethernet4/48/1,True
l3leaf,ismcr02a,Ethernet5/1,firewall,ISMPAN98,Ethernet1/15,True
l3leaf,ismcr02a,Ethernet5/2,firewall,ISMPAN60,Ethernet1/15,True
l3leaf,ismcr02a,Ethernet5/3,firewall,ISMTMGPAN48,Ethernet1/23,True
l3leaf,ismcr02a,Ethernet6/1,firewall,ISMPAN99,Ethernet1/16,True
l3leaf,ismcr02a,Ethernet6/2,firewall,ISMPAN61,Ethernet1/16,True
l3leaf,ismcr02a,Ethernet6/3,firewall,ISMTMGPAN49,Ethernet1/24,True
l3leaf,ismitmsc01a,Ethernet49/1,l3_interface,,,True
l3leaf,ismitmsc01a,Ethernet49/1.525,l3_interface,,,True
l3leaf,ismitmsc01a,Ethernet49/1.533,l3_interface,,,True
l3leaf,ismitmsc01a,Ethernet50/1,l3_interface,,,True
l3leaf,ismitmsc01a,Ethernet50/1.525,l3_interface,,,True
l3leaf,ismitmsc01a,Ethernet50/1.533,l3_interface,,,True
l3leaf,ismitmsc01a,Ethernet55/1,mlag_peer,ismitmsc02a,Ethernet55/1,True
l3leaf,ismitmsc01a,Ethernet56/1,mlag_peer,ismitmsc02a,Ethernet56/1,True
l3leaf,ismitmsc02a,Ethernet49/1,l3_interface,,,True
l3leaf,ismitmsc02a,Ethernet49/1.525,l3_interface,,,True
l3leaf,ismitmsc02a,Ethernet49/1.533,l3_interface,,,True
l3leaf,ismitmsc02a,Ethernet50/1,l3_interface,,,True
l3leaf,ismitmsc02a,Ethernet50/1.525,l3_interface,,,True
l3leaf,ismitmsc02a,Ethernet50/1.533,l3_interface,,,True
l3leaf,ismitmsc02a,Ethernet55/1,mlag_peer,ismitmsc01a,Ethernet55/1,True
l3leaf,ismitmsc02a,Ethernet56/1,mlag_peer,ismitmsc01a,Ethernet56/1,True
