Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,ISMCR02A,Ethernet3/3/1.30,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet3/3/1.40,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet3/4/1,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet3/4/1.110,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet3/4/1.130,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet3/5/1,firewall,ISMTMGPAN40,Ethernet1/41,True
l3leaf,ISMCR02A,Ethernet3/48/1,mlag_peer,ISMCR01A,Ethernet3/48/1,True
l3leaf,ISMCR02A,Ethernet4/1/1,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/1/1.20,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/1/1.100,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/2/1,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/2/1.20,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/2/1.100,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/3/1,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/3/1.30,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/3/1.40,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/4/1,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/4/1.110,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/4/1.130,l3_interface,,,True
l3leaf,ISMCR02A,Ethernet4/5/1,firewall,ISMTMGPAN41,Ethernet1/42,True
l3leaf,ISMCR02A,Ethernet4/48/1,mlag_peer,ISMCR01A,Ethernet4/48/1,True
l3leaf,ISMCR02A,Ethernet5/1,firewall,ISMPAN98,Ethernet1/15,True
l3leaf,ISMCR02A,Ethernet5/2,firewall,ISMPAN60,Ethernet1/15,True
l3leaf,ISMCR02A,Ethernet5/3,firewall,ISMTMGPAN48,Ethernet1/23,True
l3leaf,ISMCR02A,Ethernet6/1,firewall,ISMPAN99,Ethernet1/16,True
l3leaf,ISMCR02A,Ethernet6/2,firewall,ISMPAN61,Ethernet1/16,True
l3leaf,ISMCR02A,Ethernet6/3,firewall,ISMTMGPAN49,Ethernet1/24,True
l3leaf,ISMITMSC01A,Ethernet49/1,l3_interface,,,True
l3leaf,ISMITMSC01A,Ethernet49/1.100,l3_interface,,,True
l3leaf,ISMITMSC01A,Ethernet49/1.130,l3_interface,,,True
l3leaf,ISMITMSC01A,Ethernet50/1,l3_interface,,,True
l3leaf,ISMITMSC01A,Ethernet50/1.100,l3_interface,,,True
l3leaf,ISMITMSC01A,Ethernet50/1.130,l3_interface,,,True
l3leaf,ISMITMSC01A,Ethernet55/1,mlag_peer,ISMITMSC02A,Ethernet55/1,True
l3leaf,ISMITMSC01A,Ethernet56/1,mlag_peer,ISMITMSC02A,Ethernet56/1,True
l3leaf,ISMITMSC02A,Ethernet49/1,l3_interface,,,True
l3leaf,ISMITMSC02A,Ethernet49/1.100,l3_interface,,,True
l3leaf,ISMITMSC02A,Ethernet49/1.130,l3_interface,,,True
l3leaf,ISMITMSC02A,Ethernet50/1,l3_interface,,,True
l3leaf,ISMITMSC02A,Ethernet50/1.100,l3_interface,,,True
l3leaf,ISMITMSC02A,Ethernet50/1.130,l3_interface,,,True
l3leaf,ISMITMSC02A,Ethernet55/1,mlag_peer,ISMITMSC01A,Ethernet55/1,True
l3leaf,ISMITMSC02A,Ethernet56/1,mlag_peer,ISMITMSC01A,Ethernet56/1,True
